Bukit Tigapuluh case study	Map	_ICT0196	Bukit Tigapuluh Forest Landscape, Jambi, Sumatra	April 26, 2010	SMG/APP logging road	Road developed by SMG/APP to transport logs from its concession areas in the Bukit Tigapuluh Forest Landscape to its pulp mills.		bbee38b4-8c62-11e0-83f2-0
Bukit Tigapuluh case study	Map	_MG_0031	Bukit Tigapuluh Forest Landscape, Riau, Sumatra	August 5, 2010	Forest clearance	Active clearance of forested tiger habitat in SMG/APP affiliated PT Artelindo Wiratama.		bbee38b1-8c62-11e0-83f2-0
Bukit Tigapuluh case study	Map	_MG_0061	Bukit Tigapuluh Forest Landscape, Riau, Sumatra	August 5, 2010	Forest clearance	Active clearance of forested tiger habitat in SMG/APP affiliated PT Artelindo Wiratama.		bbee38b2-8c62-11e0-83f2-0
Bukit Tigapuluh case study	Map	_MG_0086	Bukit Tigapuluh Forest Landscape, Riau, Sumatra	August 5, 2010	SMG/APP logging road	Logging road in SMG/APP affiliated PT Artelindo Wiratama.		bbee38b3-8c62-11e0-83f2-0
Bukit Tigapuluh case study	Map	_MG_9573	Bukit Tigapuluh Forest Landscape, Jambi, Sumatra	August 5, 2010	SMG/APP logging road	Logging road in SMG/APP affiliated supplier PT Rimba Hutani Mas. The road was developed by SMG/APP to transport logs from its concession areas in the Bukit Tigapuluh Forest Landscape to its pulp mills.		bbee38b0-8c62-11e0-83f2-0
Bukit Tigapuluh case study	Map	_MG_9635	Bukit Tigapuluh Forest Landscape, Jambi, Sumatra	August 5, 2010	Forested tiger habitat	Forested tiger habitat adjacent to recently cleared areas in SMG/APP affiliated PT Tebo Multiagro.		bbee38b6-8c62-11e0-83f2-0
Bukit Tigapuluh case study	Map	_MG_9677	Bukit Tigapuluh Forest Landscape, Jambi, Sumatra	August 5, 2010	Forest clearance	Recent clearance of forested tiger in SMG/APP affiliated PT Tebo Multiagro.		bbee38b7-8c62-11e0-83f2-0
Bukit Tigapuluh case study	Map	_MG_9607		August 5, 2010	Young pulpwood plantations	Young pulpwood plantations in SMG/APP affiliated PT Tebo Multiagro. The plantations have been established in areas that were natural forest in 2006.		bbee38b5-8c62-11e0-83f2-0
Kerumutan								
	Map	_MG_6196	Kerumutan Peat Swamp Forest, Riau, Sumatra	Mai 5, 2011	Forest clearance	Active clearance of natural forest on peatland in SMG/APP affiliated PT Mutiara Sabuk Khatulistiwa.		9a2f5482-8d2e-11e0-91e4-0
	Map	_MG_6024	Kerumutan Peat Swamp Forest, Riau, Sumatra	Mai 5, 2011	Cleared and drained peatland	Cleared and drained peatland in preparation for plantation establishment in SMG/APP affiliated PT Mutiara Sabuk Khatulistiwa.		9a2f5480-8d2e-11e0-91e4-0
	Map	_MG_6247	Kerumutan Peat Swamp Forest, Riau, Sumatra	Mai 5, 2011	Forest clearance	Active clearance of natural forest on peatland in SMG/APP affiliated PT Mutiara Sabuk Khatulistiwa.		9a2f5483-8d2e-11e0-91e4-0
	Map	_MG_6174	Kerumutan Peat Swamp Forest, Riau, Sumatra	Mai 5, 2011	Forest clearance	Active clearance of natural forest on peatland in SMG/APP affiliated PT Mutiara Sabuk Khatulistiwa.		9a2f5481-8d2e-11e0-91e4-0
								
	Map	FOC_510351	Kerumutan Peat Swamp Forest, Riau, Sumatra	August 5, 2010	Forest clearance	Active clearance of natural forest on peatland in SMG/APP affiliated PT Bina Duta Laksana.		9a2f7b90-8d2e-11e0-91e4-0
	Map	FOC_512751	Kerumutan Peat Swamp Forest, Riau, Sumatra	August 5, 2010	Forest clearance	Active clearance of natural forest on peatland in SMG/APP affiliated PT Bina Duta Laksana.		9a2f7b91-8d2e-11e0-91e4-0
